"243","ASPICIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"244","ASPIDEN",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"245","ASPIREP",NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"246","ASPLENI",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1
"247","ASPLTRI",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3
"248","ASPLVIR",NA,NA,NA,1,1,3,4,1,NA,9,1,3,4,NA,NA,1,5
"249","ASTEALP",NA,NA,NA,1,1,NA,NA,2,NA,3,NA,1,2,NA,1,NA,5
"250","ASTER",9,5,22,49,46,48,81,72,74,45,47,40,79,24,21,101,358
"251","ASTERAC",1,1,8,4,9,2,6,5,3,4,2,3,10,NA,NA,2,27
"252","ASTRAGA",6,7,13,26,8,24,13,12,2,3,2,2,2,1,NA,1,46
"253","ASTRAGR",1,NA,1,12,2,23,12,3,NA,NA,NA,NA,NA,NA,NA,NA,5
"254","ASTRALP",NA,NA,NA,NA,2,1,1,3,11,8,9,7,1,1,NA,NA,79
"255","ASTRAME",NA,NA,NA,NA,1,1,5,5,6,7,4,11,5,3,NA,1,18
"256","ASTRAUS",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
